Bus ID,Bus Name,BaseKV,Bus Type,MW Load,MVAR Load,V Mag,V Angle,MW Shunt G,MVAR Shunt B,Area,Sub Area,Zone,lat,lng
205,Bain,138.0,PQ,71.0,14.0,1.03603,-13.61187,0.0,0.0,2,21.0,21.0,36.0792295088,-113.983041183
206,Bajer,138.0,PQ,136.0,28.0,1.03259,-16.15672,0.0,-100.0,2,21.0,22.0,35.787397173,-113.890346787
207,Baker,138.0,PV,125.0,25.0,1.03973,-13.46606,0.0,0.0,2,21.0,22.0,36.0524666349,-113.082849386
208,Balch,138.0,PQ,171.0,35.0,1.01203,-16.22359,0.0,0.0,2,21.0,22.0,35.9338142079,-113.317701119
209,Balzac,138.0,PQ,175.0,36.0,1.02781,-11.72409,0.0,0.0,2,21.0,23.0,35.8051073259,-114.150832502
210,Banks,138.0,PQ,195.0,40.0,1.05,-13.47986,0.0,0.0,2,21.0,23.0,35.7878234078,-114.162881451
211,Bardeen,230.0,PQ,0.0,0.0,1.02735,-6.93336,0.0,0.0,2,21.0,23.0,35.8014848281,-114.167551621
212,Barkla,230.0,PQ,0.0,0.0,1.01921,-5.25334,0.0,0.0,2,21.0,23.0,35.7914453835,-114.146165073
213,Barlow,230.0,PV,265.0,54.0,1.03752,-3.2151,0.0,0.0,2,22.0,24.0,36.1460954035,-114.622896434
214,Barry,230.0,PV,194.0,39.0,1.04335,-4.68519,0.0,0.0,2,22.0,26.0,35.5676111304,-114.492568426
215,Barton,230.0,PV,317.0,64.0,1.04327,4.63351,0.0,0.0,2,22.0,26.0,35.148590889,-114.575774314
216,Basov,230.0,PV,100.0,20.0,1.04556,4.70009,0.0,0.0,2,22.0,26.0,35.261489569,-114.730762649
217,Bates,230.0,PQ,0.0,0.0,1.04847,8.81839,0.0,0.0,2,22.0,27.0,35.0877489009,-114.921163573
218,Bayle,230.0,PV,333.0,68.0,1.05,9.99473,0.0,0.0,2,22.0,27.0,35.1149069391,-115.077882263
219,Bede,230.0,PQ,181.0,37.0,1.03946,4.21233,0.0,0.0,2,22.0,25.0,35.4192172019,-114.979181721
220,Beethoven,230.0,PQ,128.0,26.0,1.0438,5.66449,0.0,0.0,2,22.0,25.0,35.6466955481,-115.446586888
221,Behring,230.0,PV,0.0,0.0,1.05,10.63209,0.0,0.0,2,22.0,27.0,35.3163216007,-115.197942427
222,Bell,230.0,PV,0.0,0.0,1.05,16.43203,0.0,0.0,2,22.0,27.0,36.3309810416,-115.2902095
223,Bloch,230.0,PV,0.0,0.0,1.05,7.18151,0.0,0.0,2,22.0,25.0,35.824349648,-115.536445586
224,Bordet,230.0,PQ,0.0,0.0,1.01456,-0.96005,0.0,0.0,2,22.0,26.0,35.356437515,-113.960252513
301,Cabell,138.0,PV,108.0,22.0,1.0486,-9.34821,0.0,0.0,3,31.0,31.0,35.0475821979,-118.821765372
302,Cabot,138.0,PV,97.0,20.0,1.04864,-9.431,0.0,0.0,3,31.0,32.0,35.0299368836,-118.86485954
303,Caesar,138.0,PQ,180.0,37.0,1.01045,-8.57689,0.0,0.0,3,31.0,31.0,35.2175425288,-118.043549932
304,Caine,138.0,PQ,74.0,15.0,1.01785,-12.18784,0.0,0.0,3,31.0,31.0,34.6320914545,-118.563585314
305,Calvin,138.0,PQ,71.0,14.0,1.03609,-12.35005,0.0,0.0,3,31.0,31.0,34.8738848798,-118.510487334
306,Camus,138.0,PQ,136.0,28.0,1.0326,-14.94205,0.0,-100.0,3,31.0,32.0,34.8871676415,-118.276199699
307,Carew,138.0,PV,125.0,25.0,1.03804,-12.54795,0.0,0.0,3,31.0,32.0,34.1012656245,-118.878177963
308,Carrel,138.0,PQ,171.0,35.0,1.01056,-15.18287,0.0,0.0,3,31.0,32.0,34.2247178422,-118.654257924
309,Carter,138.0,PQ,175.0,36.0,1.02579,-10.44617,0.0,0.0,3,31.0,33.0,34.7357579346,-118.127342032
310,Caruso,138.0,PQ,195.0,40.0,1.05,-12.30117,0.0,0.0,3,31.0,33.0,34.7293159072,-118.104524763
311,Cary,230.0,PQ,0.0,0.0,1.0283,-5.74069,0.0,0.0,3,31.0,33.0,34.7420938654,-118.111933172
312,Caxton,230.0,PQ,0.0,0.0,1.019,-4.14604,0.0,0.0,3,31.0,33.0,34.7229630722,-118.119887368
313,Cecil,230.0,PV,265.0,54.0,1.03802,-2.41513,0.0,0.0,3,32.0,34.0,34.2652681351,-118.018855064
314,Chain,230.0,PV,194.0,39.0,1.04631,-3.20793,0.0,0.0,3,32.0,36.0,34.9449642304,-117.684879151
315,Chase,230.0,PV,317.0,64.0,1.043,7.05088,0.0,0.0,3,32.0,36.0,35.2659701248,-117.386433534
316,Chifa,230.0,PV,100.0,20.0,1.04558,6.59875,0.0,0.0,3,32.0,36.0,35.138367105,-117.25158864
317,Chuhsi,230.0,PQ,0.0,0.0,1.04785,10.34418,0.0,0.0,3,32.0,37.0,35.3784334079,-117.055829458
318,Clark,230.0,PV,333.0,68.0,1.05,11.34262,0.0,0.0,3,32.0,37.0,35.5058132288,-116.976571399
319,Clay,230.0,PQ,181.0,37.0,1.03953,5.91539,0.0,0.0,3,32.0,35.0,34.9176311996,-117.124419518
320,Clive,230.0,PQ,128.0,26.0,1.04389,7.19709,0.0,0.0,3,32.0,35.0,34.4624656255,-117.063508273
321,Cobb,230.0,PV,0.0,0.0,1.05,12.34122,0.0,0.0,3,32.0,37.0,35.7453443807,-117.115362793
322,Cole,230.0,PV,0.0,0.0,1.05,18.06914,0.0,0.0,3,32.0,37.0,36.4389584791,-117.485271734
323,Comte,230.0,PV,0.0,0.0,1.05,8.62112,0.0,0.0,3,32.0,35.0,34.2530033694,-117.113221062
324,Curie,230.0,PQ,0.0,0.0,1.01046,1.30606,0.0,0.0,3,32.0,36.0,35.2065818224,-118.034816846
325,Curtiss,230.0,PQ,0.0,0.0,1.04986,8.99332,0.0,0.0,3,32.0,35.0,34.2518913135,-117.128977233
