Year,Month,Day,Period,Spin_Up_R2
2020,1,1,146,35.22
2020,1,1,147,35.235
2020,1,1,148,35.235
2020,1,1,149,35.247
2020,1,1,150,35.208
2020,1,1,151,35.166
2020,1,1,152,35.193
2020,1,1,153,35.181
2020,1,1,154,35.166
2020,1,1,155,35.073
2020,1,1,156,35.073
2020,1,1,157,35.088
2020,1,1,158,35.1
2020,1,1,159,35.061
2020,1,1,160,34.725
2020,1,1,161,34.617
2020,1,1,162,34.629
2020,1,1,163,34.563
2020,1,1,164,34.656
2020,1,1,165,34.779
2020,1,1,166,34.779
2020,1,1,167,34.752
2020,1,1,168,34.737
2020,1,1,169,34.656
2020,1,1,170,34.656
2020,1,1,171,34.644
2020,1,1,172,34.656
2020,1,1,173,34.656
2020,1,1,174,34.617
2020,1,1,175,34.617
2020,1,1,176,34.617
2020,1,1,177,34.644
2020,1,1,178,34.683
2020,1,1,179,34.725
2020,1,1,180,34.71
2020,1,1,181,34.803
2020,1,1,182,34.818
2020,1,1,183,34.779
2020,1,1,184,34.845
2020,1,1,185,34.83
2020,1,1,186,34.752
2020,1,1,187,34.845
2020,1,1,188,34.803
2020,1,1,189,34.779
2020,1,1,190,34.779
2020,1,1,191,34.737
2020,1,1,192,34.725
2020,1,1,193,34.374
2020,1,1,194,34.47
2020,1,1,195,34.629
2020,1,1,196,34.845
2020,1,1,197,35.046
2020,1,1,198,35.262
2020,1,1,199,35.544
2020,1,1,200,35.919
2020,1,1,201,36.375
2020,1,1,202,36.912
2020,1,1,203,37.518
2020,1,1,204,38.043
2020,1,1,205,39.279
2020,1,1,206,39.87
2020,1,1,207,40.461
2020,1,1,208,41.052
2020,1,1,209,41.601
2020,1,1,210,42.153
2020,1,1,211,42.675
2020,1,1,212,43.065
2020,1,1,213,43.497
2020,1,1,214,43.83
2020,1,1,215,44.262
2020,1,1,216,44.571
2020,1,1,217,43.845
2020,1,1,218,43.698
2020,1,1,219,43.47
2020,1,1,220,43.266
2020,1,1,221,42.984
2020,1,1,222,42.756
2020,1,1,223,42.57
2020,1,1,224,42.366
2020,1,1,225,42.18
2020,1,1,226,42.111
2020,1,1,227,42.018
2020,1,1,228,41.979
2020,1,1,229,42.327
2020,1,1,230,42.327
2020,1,1,231,42.327
2020,1,1,232,42.312
2020,1,1,233,42.3
2020,1,1,234,42.312
2020,1,1,235,42.273
2020,1,1,236,42.207
2020,1,1,237,42.03
2020,1,1,238,41.844
2020,1,1,239,41.697
2020,1,1,240,41.547
2020,1,1,241,41.616
2020,1,1,242,41.562
2020,1,1,243,41.508
2020,1,1,244,41.439
2020,1,1,245,41.373
2020,1,1,246,41.226
2020,1,1,247,41.103
2020,1,1,248,40.956
2020,1,1,249,40.77
2020,1,1,250,40.608
2020,1,1,251,40.407
2020,1,1,252,40.218
2020,1,1,253,39.948
2020,1,1,254,39.774
2020,1,1,255,39.561
2020,1,1,256,39.357
2020,1,1,257,39.156
2020,1,1,258,38.889
2020,1,1,259,38.781
2020,1,1,260,38.511
2020,1,1,261,38.325
2020,1,1,262,38.121
2020,1,1,263,37.908
2020,1,1,264,37.665
2020,1,1,265,37.425
2020,1,1,266,37.143
2020,1,1,267,36.939
2020,1,1,268,36.738
2020,1,1,269,36.51
2020,1,1,270,36.348
2020,1,1,271,36.147
2020,1,1,272,35.88
2020,1,1,273,35.703
2020,1,1,274,35.571
2020,1,1,275,35.436
2020,1,1,276,35.235
2020,1,1,277,34.98
2020,1,1,278,34.803
2020,1,1,279,34.59
2020,1,1,280,34.482
2020,1,1,281,34.281
2020,1,1,282,34.107
2020,1,1,283,33.984
2020,1,1,284,33.81
2020,1,1,285,33.675
2020,1,1,286,33.57
2020,1,1,287,33.408
2020,1,1,288,33.435
