Year,Month,Day,Period,HydroDispatch1,HydroDispatch2,HydroDispatch3
2020,1,4,1,3.8,3.8,3.8
2020,1,4,2,3.3,3.3,3.3
2020,1,4,3,3.3,3.3,3.3
2020,1,4,4,3.3,3.3,3.3
2020,1,4,5,3.8,3.8,3.8
2020,1,4,6,3.3,3.3,3.3
2020,1,4,7,2.8,2.8,2.8
2020,1,4,8,3.3,3.3,3.3
2020,1,4,9,3.3,3.3,3.3
2020,1,4,10,3.3,3.3,3.3
2020,1,4,11,3.3,3.3,3.3
2020,1,4,12,2.8,2.8,2.8
2020,1,4,13,2.8,2.8,2.8
2020,1,4,14,2.8,2.8,2.8
2020,1,4,15,3.3,3.3,3.3
2020,1,4,16,2.8,2.8,2.8
2020,1,4,17,3.3,3.3,3.3
2020,1,4,18,2.8,2.8,2.8
2020,1,4,19,3.8,3.8,3.8
2020,1,4,20,3.3,3.3,3.3
2020,1,4,21,3.3,3.3,3.3
2020,1,4,22,3.3,3.3,3.3
2020,1,4,23,3.3,3.3,3.3
2020,1,4,24,6.1,6.1,6.1
2020,1,5,1,3.3,3.3,3.3
2020,1,5,2,3.3,3.3,3.3
2020,1,5,3,3.8,3.8,3.8
2020,1,5,4,2.8,2.8,2.8
2020,1,5,5,2.8,2.8,2.8
2020,1,5,6,2.8,2.8,2.8
2020,1,5,7,3.3,3.3,3.3
2020,1,5,8,3.3,3.3,3.3
2020,1,5,9,3.3,3.3,3.3
2020,1,5,10,3.8,3.8,3.8
2020,1,5,11,3.3,3.3,3.3
2020,1,5,12,3.8,3.8,3.8
2020,1,5,13,3.8,3.8,3.8
2020,1,5,14,4.2,4.2,4.2
2020,1,5,15,3.8,3.8,3.8
2020,1,5,16,4.2,4.2,4.2
2020,1,5,17,3.8,3.8,3.8
2020,1,5,18,4.2,4.2,4.2
2020,1,5,19,4.2,4.2,4.2
2020,1,5,20,3.8,3.8,3.8
2020,1,5,21,4.2,4.2,4.2
2020,1,5,22,5.7,5.7,5.7
2020,1,5,23,3.8,3.8,3.8
2020,1,5,24,6.1,6.1,6.1
2020,1,6,1,3.8,3.8,3.8
2020,1,6,2,3.8,3.8,3.8
2020,1,6,3,3.8,3.8,3.8
2020,1,6,4,3.8,3.8,3.8
2020,1,6,5,3.8,3.8,3.8
2020,1,6,6,3.8,3.8,3.8
2020,1,6,7,13.2,13.2,13.2
2020,1,6,8,12.7,12.7,12.7
2020,1,6,9,12.7,12.7,12.7
2020,1,6,10,13.2,13.2,13.2
2020,1,6,11,12.7,12.7,12.7
2020,1,6,12,13.2,13.2,13.2
2020,1,6,13,12.7,12.7,12.7
2020,1,6,14,12.7,12.7,12.7
2020,1,6,15,13.2,13.2,13.2
2020,1,6,16,12.7,12.7,12.7
2020,1,6,17,14.2,14.2,14.2
2020,1,6,18,25.9,25.9,25.9
2020,1,6,19,25.5,25.5,25.5
2020,1,6,20,25.9,25.9,25.9
2020,1,6,21,25.9,25.9,25.9
2020,1,6,22,25.9,25.9,25.9
2020,1,6,23,25.9,25.9,25.9
2020,1,6,24,19.8,19.8,19.8
2020,1,7,1,4.2,4.2,4.2
2020,1,7,2,3.8,3.8,3.8
2020,1,7,3,4.2,4.2,4.2
2020,1,7,4,3.8,3.8,3.8
2020,1,7,5,4.2,4.2,4.2
2020,1,7,6,4.2,4.2,4.2
2020,1,7,7,12.7,12.7,12.7
2020,1,7,8,12.7,12.7,12.7
2020,1,7,9,14.2,14.2,14.2
2020,1,7,10,12.7,12.7,12.7
2020,1,7,11,13.2,13.2,13.2
2020,1,7,12,12.7,12.7,12.7
2020,1,7,13,12.7,12.7,12.7
2020,1,7,14,13.2,13.2,13.2
2020,1,7,15,12.7,12.7,12.7
2020,1,7,16,13.2,13.2,13.2
2020,1,7,17,25,25,25
2020,1,7,18,25.9,25.9,25.9
2020,1,7,19,25.5,25.5,25.5
2020,1,7,20,20.8,20.8,20.8
2020,1,7,21,10.9,10.9,10.9
2020,1,7,22,3.8,3.8,3.8
2020,1,7,23,3.8,3.8,3.8
2020,1,7,24,3.8,3.8,3.8
2020,1,8,1,4.2,4.2,4.2
2020,1,8,2,3.8,3.8,3.8
2020,1,8,3,3.8,3.8,3.8
2020,1,8,4,4.2,4.2,4.2
2020,1,8,5,3.8,3.8,3.8
2020,1,8,6,3.8,3.8,3.8
2020,1,8,7,4.2,4.2,4.2
2020,1,8,8,3.8,3.8,3.8
2020,1,8,9,3.8,3.8,3.8
2020,1,8,10,3.8,3.8,3.8
2020,1,8,11,3.8,3.8,3.8
2020,1,8,12,3.8,3.8,3.8
2020,1,8,13,3.8,3.8,3.8
2020,1,8,14,4.2,4.2,4.2
2020,1,8,15,4.2,4.2,4.2
2020,1,8,16,13.2,13.2,13.2
2020,1,8,17,12.7,12.7,12.7
2020,1,8,18,13.2,13.2,13.2
2020,1,8,19,9,9,9
2020,1,8,20,4.2,4.2,4.2
2020,1,8,21,3.8,3.8,3.8
2020,1,8,22,3.8,3.8,3.8
2020,1,8,23,3.8,3.8,3.8
2020,1,8,24,3.8,3.8,3.8
2020,1,9,1,2.8,2.8,2.8
2020,1,9,2,2.8,2.8,2.8
2020,1,9,3,2.8,2.8,2.8
2020,1,9,4,2.8,2.8,2.8
2020,1,9,5,2.8,2.8,2.8
2020,1,9,6,2.8,2.8,2.8
2020,1,9,7,3.3,3.3,3.3
2020,1,9,8,2.4,2.4,2.4
2020,1,9,9,3.3,3.3,3.3
2020,1,9,10,2.4,2.4,2.4
2020,1,9,11,2.8,2.8,2.8
2020,1,9,12,2.8,2.8,2.8
2020,1,9,13,2.8,2.8,2.8
2020,1,9,14,2.8,2.8,2.8
2020,1,9,15,2.8,2.8,2.8
2020,1,9,16,3.3,3.3,3.3
2020,1,9,17,3.3,3.3,3.3
2020,1,9,18,3.3,3.3,3.3
2020,1,9,19,3.8,3.8,3.8
2020,1,9,20,3.8,3.8,3.8
2020,1,9,21,4.2,4.2,4.2
2020,1,9,22,4.7,4.7,4.7
2020,1,9,23,4.7,4.7,4.7
2020,1,9,24,4.7,4.7,4.7
2020,1,10,1,3.8,3.8,3.8
2020,1,10,2,3.3,3.3,3.3
2020,1,10,3,2.8,2.8,2.8
2020,1,10,4,3.3,3.3,3.3
2020,1,10,5,3.3,3.3,3.3
2020,1,10,6,3.3,3.3,3.3
2020,1,10,7,3.3,3.3,3.3
2020,1,10,8,3.3,3.3,3.3
2020,1,10,9,3.3,3.3,3.3
2020,1,10,10,3.3,3.3,3.3
2020,1,10,11,3.8,3.8,3.8
2020,1,10,12,3.3,3.3,3.3
2020,1,10,13,3.3,3.3,3.3
2020,1,10,14,3.3,3.3,3.3
2020,1,10,15,3.3,3.3,3.3
2020,1,10,16,3.3,3.3,3.3
2020,1,10,17,3.3,3.3,3.3
2020,1,10,18,3.3,3.3,3.3
2020,1,10,19,3.8,3.8,3.8
2020,1,10,20,3.3,3.3,3.3
2020,1,10,21,3.8,3.8,3.8
2020,1,10,22,4.2,4.2,4.2
2020,1,10,23,3.8,3.8,3.8
2020,1,10,24,3.8,3.8,3.8
2020,1,11,1,3.8,3.8,3.8
2020,1,11,2,3.3,3.3,3.3
2020,1,11,3,3.3,3.3,3.3
2020,1,11,4,3.3,3.3,3.3
2020,1,11,5,3.8,3.8,3.8
2020,1,11,6,3.3,3.3,3.3
2020,1,11,7,2.8,2.8,2.8
2020,1,11,8,3.3,3.3,3.3
2020,1,11,9,3.3,3.3,3.3
2020,1,11,10,3.3,3.3,3.3
2020,1,11,11,3.3,3.3,3.3
2020,1,11,12,2.8,2.8,2.8
2020,1,11,13,2.8,2.8,2.8
2020,1,11,14,2.8,2.8,2.8
2020,1,11,15,3.3,3.3,3.3
2020,1,11,16,2.8,2.8,2.8
2020,1,11,17,3.3,3.3,3.3
2020,1,11,18,2.8,2.8,2.8
2020,1,11,19,3.8,3.8,3.8
2020,1,11,20,3.3,3.3,3.3
2020,1,11,21,3.3,3.3,3.3
2020,1,11,22,3.3,3.3,3.3
2020,1,11,23,3.3,3.3,3.3
2020,1,11,24,6.1,6.1,6.1
2020,1,12,1,3.3,3.3,3.3
2020,1,12,2,3.3,3.3,3.3
2020,1,12,3,3.8,3.8,3.8
2020,1,12,4,2.8,2.8,2.8
2020,1,12,5,2.8,2.8,2.8
2020,1,12,6,2.8,2.8,2.8
2020,1,12,7,3.3,3.3,3.3
2020,1,12,8,3.3,3.3,3.3
2020,1,12,9,3.3,3.3,3.3
2020,1,12,10,3.8,3.8,3.8
2020,1,12,11,3.3,3.3,3.3
2020,1,12,12,3.8,3.8,3.8
2020,1,12,13,3.8,3.8,3.8
2020,1,12,14,4.2,4.2,4.2
2020,1,12,15,3.8,3.8,3.8
2020,1,12,16,4.2,4.2,4.2
2020,1,12,17,3.8,3.8,3.8
2020,1,12,18,4.2,4.2,4.2
2020,1,12,19,4.2,4.2,4.2
2020,1,12,20,3.8,3.8,3.8
2020,1,12,21,4.2,4.2,4.2
2020,1,12,22,5.7,5.7,5.7
2020,1,12,23,3.8,3.8,3.8
2020,1,12,24,6.1,6.1,6.1
2020,1,13,1,4.7,4.7,4.7
2020,1,13,2,3.8,3.8,3.8
2020,1,13,3,4.2,4.2,4.2
2020,1,13,4,3.8,3.8,3.8
2020,1,13,5,3.8,3.8,3.8
2020,1,13,6,4.2,4.2,4.2
2020,1,13,7,3.8,3.8,3.8
2020,1,13,8,3.3,3.3,3.3
2020,1,13,9,2.8,2.8,2.8
2020,1,13,10,3.3,3.3,3.3
2020,1,13,11,3.3,3.3,3.3
2020,1,13,12,3.3,3.3,3.3
2020,1,13,13,3.8,3.8,3.8
2020,1,13,14,4.2,4.2,4.2
2020,1,13,15,4.7,4.7,4.7
2020,1,13,16,3.8,3.8,3.8
2020,1,13,17,4.2,4.2,4.2
2020,1,13,18,3.8,3.8,3.8
2020,1,13,19,4.2,4.2,4.2
2020,1,13,20,3.8,3.8,3.8
2020,1,13,21,3.8,3.8,3.8
2020,1,13,22,4.2,4.2,4.2
2020,1,13,23,3.8,3.8,3.8
2020,1,13,24,3.8,3.8,3.8
2020,1,14,1,5.2,5.2,5.2
2020,1,14,2,3.8,3.8,3.8
2020,1,14,3,3.8,3.8,3.8
2020,1,14,4,3.8,3.8,3.8
2020,1,14,5,3.8,3.8,3.8
2020,1,14,6,3.8,3.8,3.8
2020,1,14,7,3.8,3.8,3.8
2020,1,14,8,3.8,3.8,3.8
2020,1,14,9,2.8,2.8,2.8
2020,1,14,10,3.8,3.8,3.8
2020,1,14,11,3.8,3.8,3.8
2020,1,14,12,3.8,3.8,3.8
2020,1,14,13,3.8,3.8,3.8
2020,1,14,14,3.8,3.8,3.8
2020,1,14,15,3.8,3.8,3.8
2020,1,14,16,3.8,3.8,3.8
2020,1,14,17,3.8,3.8,3.8
2020,1,14,18,4.2,4.2,4.2
2020,1,14,19,3.8,3.8,3.8
2020,1,14,20,3.8,3.8,3.8
2020,1,14,21,3.8,3.8,3.8
2020,1,14,22,3.8,3.8,3.8
2020,1,14,23,3.8,3.8,3.8
2020,1,14,24,3.8,3.8,3.8
2020,1,15,1,4.7,4.7,4.7
2020,1,15,2,3.8,3.8,3.8
2020,1,15,3,4.7,4.7,4.7
2020,1,15,4,4.2,4.2,4.2
2020,1,15,5,3.8,3.8,3.8
2020,1,15,6,3.8,3.8,3.8
2020,1,15,7,3.8,3.8,3.8
2020,1,15,8,4.2,4.2,4.2
2020,1,15,9,3.8,3.8,3.8
2020,1,15,10,3.8,3.8,3.8
2020,1,15,11,4.2,4.2,4.2
2020,1,15,12,3.8,3.8,3.8
2020,1,15,13,3.3,3.3,3.3
2020,1,15,14,3.8,3.8,3.8
2020,1,15,15,3.8,3.8,3.8
2020,1,15,16,3.8,3.8,3.8
2020,1,15,17,4.2,4.2,4.2
2020,1,15,18,3.8,3.8,3.8
2020,1,15,19,3.8,3.8,3.8
2020,1,15,20,13.2,13.2,13.2
2020,1,15,21,13.2,13.2,13.2
2020,1,15,22,3.8,3.8,3.8
2020,1,15,23,2.8,2.8,2.8
2020,1,15,24,2.8,2.8,2.8
2020,1,16,1,3.8,3.8,3.8
2020,1,16,2,2.8,2.8,2.8
2020,1,16,3,2.8,2.8,2.8
2020,1,16,4,2.8,2.8,2.8
2020,1,16,5,2.8,2.8,2.8
2020,1,16,6,3.3,3.3,3.3
2020,1,16,7,2.8,2.8,2.8
2020,1,16,8,2.8,2.8,2.8
2020,1,16,9,2.8,2.8,2.8
2020,1,16,10,2.8,2.8,2.8
2020,1,16,11,3.3,3.3,3.3
2020,1,16,12,3.8,3.8,3.8
2020,1,16,13,3.8,3.8,3.8
2020,1,16,14,4.2,4.2,4.2
2020,1,16,15,3.8,3.8,3.8
2020,1,16,16,4.2,4.2,4.2
2020,1,16,17,4.2,4.2,4.2
2020,1,16,18,13.2,13.2,13.2
2020,1,16,19,13.2,13.2,13.2
2020,1,16,20,13.2,13.2,13.2
2020,1,16,21,11.8,11.8,11.8
2020,1,16,22,2.8,2.8,2.8
2020,1,16,23,2.8,2.8,2.8
2020,1,16,24,2.8,2.8,2.8
2020,1,17,1,3.3,3.3,3.3
2020,1,17,2,3.3,3.3,3.3
2020,1,17,3,3.3,3.3,3.3
2020,1,17,4,3.3,3.3,3.3
2020,1,17,5,3.3,3.3,3.3
2020,1,17,6,3.8,3.8,3.8
2020,1,17,7,3.8,3.8,3.8
2020,1,17,8,3.8,3.8,3.8
2020,1,17,9,3.8,3.8,3.8
2020,1,17,10,4.2,4.2,4.2
2020,1,17,11,3.8,3.8,3.8
2020,1,17,12,5.7,5.7,5.7
2020,1,17,13,13.2,13.2,13.2
2020,1,17,14,13.2,13.2,13.2
2020,1,17,15,13.2,13.2,13.2
2020,1,17,16,13.2,13.2,13.2
2020,1,17,17,15.6,15.6,15.6
2020,1,17,18,25.9,25.9,25.9
2020,1,17,19,25.5,25.5,25.5
2020,1,17,20,25.9,25.9,25.9
2020,1,17,21,12.7,12.7,12.7
2020,1,17,22,4.2,4.2,4.2
2020,1,17,23,3.8,3.8,3.8
2020,1,17,24,3.8,3.8,3.8
2020,1,18,1,3.8,3.8,3.8
2020,1,18,2,4.2,4.2,4.2
2020,1,18,3,3.8,3.8,3.8
2020,1,18,4,4.2,4.2,4.2
2020,1,18,5,13.2,13.2,13.2
2020,1,18,6,13.2,13.2,13.2
2020,1,18,7,12.7,12.7,12.7
2020,1,18,8,13.2,13.2,13.2
2020,1,18,9,13.2,13.2,13.2
2020,1,18,10,13.2,13.2,13.2
2020,1,18,11,13.2,13.2,13.2
2020,1,18,12,12.7,12.7,12.7
2020,1,18,13,13.2,13.2,13.2
2020,1,18,14,13.2,13.2,13.2
2020,1,18,15,13.2,13.2,13.2
2020,1,18,16,12.7,12.7,12.7
2020,1,18,17,22.2,22.2,22.2
2020,1,18,18,38.2,38.2,38.2
2020,1,18,19,39.2,39.2,39.2
2020,1,18,20,39.2,39.2,39.2
2020,1,18,21,38.2,38.2,38.2
2020,1,18,22,30.7,30.7,30.7
2020,1,18,23,26.4,26.4,26.4
2020,1,18,24,16,16,16
2020,1,19,1,13.2,13.2,13.2
2020,1,19,2,13.2,13.2,13.2
2020,1,19,3,13.2,13.2,13.2
2020,1,19,4,13.2,13.2,13.2
2020,1,19,5,13.2,13.2,13.2
2020,1,19,6,13.2,13.2,13.2
2020,1,19,7,12.7,12.7,12.7
2020,1,19,8,13.2,13.2,13.2
2020,1,19,9,13.2,13.2,13.2
2020,1,19,10,13.2,13.2,13.2
2020,1,19,11,12.7,12.7,12.7
2020,1,19,12,13.2,13.2,13.2
2020,1,19,13,12.7,12.7,12.7
2020,1,19,14,12.7,12.7,12.7
2020,1,19,15,13.2,13.2,13.2
2020,1,19,16,12.7,12.7,12.7
2020,1,19,17,13.2,13.2,13.2
2020,1,19,18,15.6,15.6,15.6
2020,1,19,19,15.6,15.6,15.6
2020,1,19,20,16.5,16.5,16.5
2020,1,19,21,16.5,16.5,16.5
2020,1,19,22,14.2,14.2,14.2
2020,1,19,23,13.2,13.2,13.2
2020,1,19,24,13.2,13.2,13.2
2020,1,20,1,12.7,12.7,12.7
2020,1,20,2,13.2,13.2,13.2
2020,1,20,3,13.2,13.2,13.2
2020,1,20,4,13.2,13.2,13.2
2020,1,20,5,13.2,13.2,13.2
2020,1,20,6,13.2,13.2,13.2
2020,1,20,7,12.7,12.7,12.7
2020,1,20,8,13.2,13.2,13.2
2020,1,20,9,13.2,13.2,13.2
2020,1,20,10,13.2,13.2,13.2
2020,1,20,11,13.2,13.2,13.2
2020,1,20,12,12.7,12.7,12.7
2020,1,20,13,13.2,13.2,13.2
2020,1,20,14,12.7,12.7,12.7
2020,1,20,15,13.2,13.2,13.2
2020,1,20,16,12.7,12.7,12.7
2020,1,20,17,13.2,13.2,13.2
2020,1,20,18,13.2,13.2,13.2
2020,1,20,19,23.1,23.1,23.1
2020,1,20,20,17,17,17
2020,1,20,21,17.5,17.5,17.5
2020,1,20,22,17,17,17
2020,1,20,23,16,16,16
2020,1,20,24,12.7,12.7,12.7
2020,1,21,1,13.2,13.2,13.2
2020,1,21,2,13.2,13.2,13.2
2020,1,21,3,13.2,13.2,13.2
2020,1,21,4,13.2,13.2,13.2
2020,1,21,5,13.2,13.2,13.2
2020,1,21,6,13.2,13.2,13.2
2020,1,21,7,13.2,13.2,13.2
2020,1,21,8,13.2,13.2,13.2
2020,1,21,9,12.7,12.7,12.7
2020,1,21,10,12.7,12.7,12.7
2020,1,21,11,12.7,12.7,12.7
2020,1,21,12,12.7,12.7,12.7
2020,1,21,13,12.7,12.7,12.7
2020,1,21,14,12.7,12.7,12.7
2020,1,21,15,12.7,12.7,12.7
2020,1,21,16,12.7,12.7,12.7
2020,1,21,17,13.2,13.2,13.2
2020,1,21,18,13.2,13.2,13.2
2020,1,21,19,25,25,25
2020,1,21,20,25.9,25.9,25.9
2020,1,21,21,25.5,25.5,25.5
2020,1,21,22,25.5,25.5,25.5
2020,1,21,23,12.7,12.7,12.7
2020,1,21,24,13.2,13.2,13.2
2020,1,22,1,13.2,13.2,13.2
2020,1,22,2,13.2,13.2,13.2
2020,1,22,3,12.7,12.7,12.7
2020,1,22,4,13.2,13.2,13.2
2020,1,22,5,13.2,13.2,13.2
2020,1,22,6,12.7,12.7,12.7
2020,1,22,7,13.2,13.2,13.2
2020,1,22,8,13.2,13.2,13.2
2020,1,22,9,13.2,13.2,13.2
2020,1,22,10,12.7,12.7,12.7
2020,1,22,11,13.2,13.2,13.2
2020,1,22,12,13.2,13.2,13.2
2020,1,22,13,12.7,12.7,12.7
2020,1,22,14,13.2,13.2,13.2
2020,1,22,15,13.2,13.2,13.2
2020,1,22,16,13.2,13.2,13.2
2020,1,22,17,12.7,12.7,12.7
2020,1,22,18,16,16,16
2020,1,22,19,16.5,16.5,16.5
2020,1,22,20,16.5,16.5,16.5
2020,1,22,21,17,17,17
2020,1,22,22,16.5,16.5,16.5
2020,1,22,23,14.2,14.2,14.2
2020,1,22,24,13.2,13.2,13.2
2020,1,23,1,12.7,12.7,12.7
2020,1,23,2,13.2,13.2,13.2
2020,1,23,3,13.2,13.2,13.2
2020,1,23,4,12.7,12.7,12.7
2020,1,23,5,13.2,13.2,13.2
2020,1,23,6,13.2,13.2,13.2
2020,1,23,7,17,17,17
2020,1,23,8,16.5,16.5,16.5
2020,1,23,9,17,17,17
2020,1,23,10,17,17,17
2020,1,23,11,16.5,16.5,16.5
2020,1,23,12,16.5,16.5,16.5
2020,1,23,13,13.2,13.2,13.2
2020,1,23,14,13.2,13.2,13.2
2020,1,23,15,12.7,12.7,12.7
2020,1,23,16,13.2,13.2,13.2
2020,1,23,17,12.7,12.7,12.7
2020,1,23,18,15.6,15.6,15.6
2020,1,23,19,16.5,16.5,16.5
2020,1,23,20,19.8,19.8,19.8
2020,1,23,21,20.3,20.3,20.3
2020,1,23,22,13.2,13.2,13.2
2020,1,23,23,8.5,8.5,8.5
2020,1,23,24,12.7,12.7,12.7
2020,1,24,1,12.7,12.7,12.7
2020,1,24,2,13.2,13.2,13.2
2020,1,24,3,12.7,12.7,12.7
2020,1,24,4,13.2,13.2,13.2
2020,1,24,5,12.7,12.7,12.7
2020,1,24,6,13.2,13.2,13.2
2020,1,24,7,12.7,12.7,12.7
2020,1,24,8,13.2,13.2,13.2
2020,1,24,9,12.7,12.7,12.7
2020,1,24,10,12.7,12.7,12.7
2020,1,24,11,14.2,14.2,14.2
2020,1,24,12,12.7,12.7,12.7
2020,1,24,13,13.2,13.2,13.2
2020,1,24,14,12.7,12.7,12.7
2020,1,24,15,12.7,12.7,12.7
2020,1,24,16,13.2,13.2,13.2
2020,1,24,17,12.7,12.7,12.7
2020,1,24,18,25.5,25.5,25.5
2020,1,24,19,25.9,25.9,25.9
2020,1,24,20,25.5,25.5,25.5
2020,1,24,21,17.5,17.5,17.5
2020,1,24,22,13.7,13.7,13.7
2020,1,24,23,12.3,12.3,12.3
2020,1,24,24,12.3,12.3,12.3
2020,1,25,1,12.7,12.7,12.7
2020,1,25,2,12.7,12.7,12.7
2020,1,25,3,3.8,3.8,3.8
2020,1,25,4,3.8,3.8,3.8
2020,1,25,5,4.2,4.2,4.2
2020,1,25,6,3.8,3.8,3.8
2020,1,25,7,5.2,5.2,5.2
2020,1,25,8,12.7,12.7,12.7
2020,1,25,9,13.2,13.2,13.2
2020,1,25,10,12.7,12.7,12.7
2020,1,25,11,13.2,13.2,13.2
2020,1,25,12,12.7,12.7,12.7
2020,1,25,13,12.7,12.7,12.7
2020,1,25,14,13.2,13.2,13.2
2020,1,25,15,12.7,12.7,12.7
2020,1,25,16,13.2,13.2,13.2
2020,1,25,17,12.7,12.7,12.7
2020,1,25,18,23.6,23.6,23.6
2020,1,25,19,25.9,25.9,25.9
2020,1,25,20,25.9,25.9,25.9
2020,1,25,21,12.3,12.3,12.3
2020,1,25,22,4.2,4.2,4.2
2020,1,25,23,3.8,3.8,3.8
2020,1,25,24,3.8,3.8,3.8
2020,1,26,1,4.2,4.2,4.2
2020,1,26,2,4.2,4.2,4.2
2020,1,26,3,13.2,13.2,13.2
2020,1,26,4,12.7,12.7,12.7
2020,1,26,5,13.2,13.2,13.2
2020,1,26,6,12.7,12.7,12.7
2020,1,26,7,13.2,13.2,13.2
2020,1,26,8,12.7,12.7,12.7
2020,1,26,9,12.7,12.7,12.7
2020,1,26,10,13.2,13.2,13.2
2020,1,26,11,12.7,12.7,12.7
2020,1,26,12,12.7,12.7,12.7
2020,1,26,13,13.2,13.2,13.2
2020,1,26,14,12.7,12.7,12.7
2020,1,26,15,12.7,12.7,12.7
2020,1,26,16,13.2,13.2,13.2
2020,1,26,17,17,17,17
2020,1,26,18,25.5,25.5,25.5
2020,1,26,19,26.4,26.4,26.4
2020,1,26,20,25.9,25.9,25.9
2020,1,26,21,25.5,25.5,25.5
2020,1,26,22,25.9,25.9,25.9
2020,1,26,23,22.2,22.2,22.2
2020,1,26,24,10.4,10.4,10.4
2020,1,27,1,13.2,13.2,13.2
2020,1,27,2,12.7,12.7,12.7
2020,1,27,3,12.7,12.7,12.7
2020,1,27,4,12.3,12.3,12.3
2020,1,27,5,12.7,12.7,12.7
2020,1,27,6,12.7,12.7,12.7
2020,1,27,7,12.7,12.7,12.7
2020,1,27,8,13.2,13.2,13.2
2020,1,27,9,12.7,12.7,12.7
2020,1,27,10,12.7,12.7,12.7
2020,1,27,11,13.2,13.2,13.2
2020,1,27,12,12.7,12.7,12.7
2020,1,27,13,13.2,13.2,13.2
2020,1,27,14,13.2,13.2,13.2
2020,1,27,15,16.5,16.5,16.5
2020,1,27,16,25.9,25.9,25.9
2020,1,27,17,25.5,25.5,25.5
2020,1,27,18,25.9,25.9,25.9
2020,1,27,19,25.9,25.9,25.9
2020,1,27,20,25.9,25.9,25.9
2020,1,27,21,25.9,25.9,25.9
2020,1,27,22,25.9,25.9,25.9
2020,1,27,23,21.7,21.7,21.7
2020,1,27,24,13.7,13.7,13.7
2020,1,28,1,13.2,13.2,13.2
2020,1,28,2,13.2,13.2,13.2
2020,1,28,3,13.2,13.2,13.2
2020,1,28,4,13.2,13.2,13.2
2020,1,28,5,13.2,13.2,13.2
2020,1,28,6,13.2,13.2,13.2
2020,1,28,7,13.2,13.2,13.2
2020,1,28,8,13.2,13.2,13.2
2020,1,28,9,12.7,12.7,12.7
2020,1,28,10,12.3,12.3,12.3
2020,1,28,11,12.7,12.7,12.7
2020,1,28,12,12.7,12.7,12.7
2020,1,28,13,12.3,12.3,12.3
2020,1,28,14,17,17,17
2020,1,28,15,25.5,25.5,25.5
2020,1,28,16,25.5,25.5,25.5
2020,1,28,17,25.9,25.9,25.9
2020,1,28,18,25.9,25.9,25.9
2020,1,28,19,25.9,25.9,25.9
